index,conf_id,smiles,area,volume,S_bv,S_darea,S_pint,S_P,S_Pangle,S_sarea,S_svol,S_toC1_Lvalue,S_toC1_B1value,S_toC1_B5value,S_toC2_Lvalue,S_toC2_B1value,S_toC2_B5value,S_charge
2903,0,CCCOc1c2cccc1Cc1cccc(c1OCCC)Cc1c(OCCC)c(cc(Nc3ccc(F)cc3)c1Sc1ccccc1C(F)(F)F)Cc1cccc(c1OCCC)C2,915.1694427295935,1045.407871995935,0.6331997763697353,16.413961638165496,28.078350957983496,1.0667012578272395,9.691018784665838,16.029954542347973,27.210238388082118,12.399031317067873,4.495705581739527,11.509618003496682,7.1372274829305535,3.8085413573413405,14.1548420332605,-0.14260202
2903,1,CCCOc1c2cccc1Cc1cccc(c1OCCC)Cc1c(OCCC)c(cc(Nc3ccc(F)cc3)c1Sc1ccccc1C(F)(F)F)Cc1cccc(c1OCCC)C2,913.7830147283543,1046.8074610814706,0.6423080506895267,16.013621110405357,29.791128016848706,0.7882811525092365,8.034395499065132,10.129971273486277,14.052330066870727,13.39831945121878,4.642199781662268,11.930295871856119,8.133799752010905,3.926929563691645,13.024272400925113,-0.13431141
2903,2,CCCOc1c2cccc1Cc1cccc(c1OCCC)Cc1c(OCCC)c(cc(Nc3ccc(F)cc3)c1Sc1ccccc1C(F)(F)F)Cc1cccc(c1OCCC)C2,910.0800533231134,1043.6427557626976,0.6478871598956392,15.713365714585263,29.96731675910134,0.7889261529915831,8.05661448163317,9.579972833168668,13.762571482030953,12.693805478390823,4.701345559474389,10.40410596306638,8.129120785374164,3.764074697392543,12.05369569742047,-0.13638636
2903,3,CCCOc1c2cccc1Cc1cccc(c1OCCC)Cc1c(OCCC)c(cc(Nc3ccc(F)cc3)c1Sc1ccccc1C(F)(F)F)Cc1cccc(c1OCCC)C2,896.5791815963013,1041.5487660808258,0.6241206205739843,18.115408881146067,29.712032452555363,0.7657526169328062,7.909802922805063,13.569961518381916,18.261000261471125,12.397928150529529,3.9981794403521778,11.431542201517955,8.135622649170308,3.680754644240861,12.235494700650989,-0.13591334
2903,4,CCCOc1c2cccc1Cc1cccc(c1OCCC)Cc1c(OCCC)c(cc(Nc3ccc(F)cc3)c1Sc1ccccc1C(F)(F)F)Cc1cccc(c1OCCC)C2,878.7665273586771,1039.798558025856,0.7285687663063735,11.309619909223787,35.57806803492847,0.7247267060554966,7.58735882223619,2.4999929105346173,5.190806828849964,9.102089311346386,5.458227126679697,10.291802172414352,8.071164970468853,3.465882257172066,9.665354518708153,-0.13337375
2564,0,COCc1ccccc1-c1c(O)ccc(Sc2ccc(F)cc2)c1O,406.67428968790654,404.72427094197775,0.49446748043235184,23.41992087396784,23.1134199141454,1.1068419837012091,9.117476345138401,30.839912544355062,48.32864142537373,9.364031669034544,2.8842976331663386,7.165033635200247,7.732747190395722,2.3361115644113926,9.48782035555054,-0.17665294
2564,1,COCc1ccccc1-c1c(O)ccc(Sc2ccc(F)cc2)c1O,408.9732297916295,408.78773558887667,0.4946072493477451,23.41992087396784,23.06041932678757,1.104330179524727,9.15610454080846,30.899912374207897,48.16182703828284,9.30757996188928,2.8891620332203036,7.162329555836553,7.732643018621726,2.331762821471403,9.504715272099832,-0.17666871
2564,2,COCc1ccccc1-c1c(O)ccc(Sc2ccc(F)cc2)c1O,408.1739803059075,406.98778752298415,0.4941180581438688,23.520006005907874,23.065085176230145,1.1192230956134077,8.951587464784906,30.7699127428601,47.722055163487155,9.359065649728883,2.890495026692891,7.160473663103026,7.732341312418971,2.325963662058363,9.381631347847277,-0.17668349
2564,3,COCc1ccccc1-c1c(O)ccc(Sc2ccc(F)cc2)c1O,409.37376705791365,408.5930243570671,0.4943218878121506,23.820261401727972,23.167026685293866,1.1035949156530078,9.168158916129892,30.989912118987146,48.28582438054408,9.30885504907384,2.887991162146532,7.161187341042011,7.732672775243662,2.3305287376335055,9.51198746450005,-0.17666122
2564,4,COCc1ccccc1-c1c(O)ccc(Sc2ccc(F)cc2)c1O,409.9736569440166,407.485433277133,0.4944616567275438,23.62009113784791,23.055549645178097,1.1039610159639248,9.16249639809084,30.949912232418583,47.25970278066443,9.381804187075504,2.883491257304202,7.168658157682886,7.732895738185023,2.330091109828425,9.511749396502378,-0.17663067
2566,0,COCc1ccccc1-c1c(O)ccc(Sc2ccc(C)cc2)c1O,427.98382182241664,427.16765084715,0.4935298639582557,23.62009113784791,23.30883776228655,1.1241085937632365,8.892414435915486,30.81991260107079,48.37874156352374,9.295904194108997,2.8886192343186297,7.613903391937644,8.15571898229421,2.2867797305278232,9.330345038923207,-0.19613103
2566,1,COCc1ccccc1-c1c(O)ccc(Sc2ccc(C)cc2)c1O,428.48444620084047,428.5609651530232,0.4937628121505777,23.520006005907874,23.167594585849677,1.1260575767205876,8.871485234097205,30.90991234585004,48.44898711573492,9.311438537853089,2.887750647710817,7.579570364643328,8.157509287491411,2.278113853805621,9.318076084551956,-0.19617021
2566,2,COCc1ccccc1-c1c(O)ccc(Sc2ccc(C)cc2)c1O,428.0846630822203,424.4817999211108,0.49341338986209465,23.62009113784791,23.307872085515264,1.1259882559329273,8.874220260413413,30.72991285629154,53.21402921124906,9.448373077357514,2.1247328912273664,7.614398338667618,8.156143360447668,2.2898685407400077,9.530202245880854,-0.1934372
