index,conf_id,smiles,area,volume,S_bv,S_darea,S_pint,S_P,S_Pangle,S_sarea,S_svol,S_toC1_Lvalue,S_toC1_B1value,S_toC1_B5value,S_toC2_Lvalue,S_toC2_B1value,S_toC2_B5value,S_charge
5180,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc([N+](=O)[O-])c1,502.7990061,527.769279,0.674286014,5.695555245,33.06436597,0.010702229,0.071726964,3.400079442,3.924011789,9.119688592,3.317471617,9.523537473,7.476184489,3.437630377,7.041913011,0.08463961
5180,3,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc([N+](=O)[O-])c1,504.4982807,529.902912,0.67527022,5.795477267,33.17822243,0.017977859,0.120415183,3.410079676,3.963321739,9.124808015,3.236209932,10.37583211,7.264882806,3.020450343,7.112794471,0.08101254
5180,4,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1cccc([N+](=O)[O-])c1,499.5015143,525.6708441,0.674419959,5.895399289,33.05656922,0.012533767,0.083999595,3.380078975,3.986417706,9.124677346,3.320537859,9.558318859,7.47610602,3.382647057,7.129149922,0.08485331
5187,0,COc1ccccc1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,507.0578186,534.8215659,0.690435147,5.795477267,33.85757908,0.000726769,0.004860743,3.080071965,3.581506574,9.138711593,3.357311633,9.1669917,6.787548517,3.712023384,7.182803657,0.05898476
5187,1,COc1ccccc1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,510.8630562,535.7578446,0.70004426,6.095243333,34.28155426,0.004030344,0.027224177,3.220075237,3.623185189,9.111865923,3.254350683,9.107879712,6.791009691,3.143610799,6.869137258,0.08250306
5187,2,COc1ccccc1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,513.3546224,537.3753884,0.644585119,6.195165354,31.15273952,0.012318484,0.082434971,6.680156081,7.02638703,9.100131605,3.395616168,8.2895925,6.794212722,3.057577128,7.114825334,0.08924312
5187,3,COc1ccccc1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,509.1633627,535.5511146,0.70056257,5.895399289,34.23217095,0.009595242,0.064793402,3.1200729,3.457736615,9.123151084,3.250247093,9.137214603,6.791392011,3.07226814,7.026856559,0.08270177
5187,4,COc1ccccc1C(=O)SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1,513.8566893,536.8840365,0.645569325,6.694775464,31.78024229,0.008400476,0.056212217,6.490151641,7.01581676,9.103115414,3.395393669,8.468043177,6.795141524,2.907045912,7.386216231,0.08871242
5169,0,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc(F)cc1,481.6468065,506.326862,0.675392518,5.895399289,32.64964426,0.014600476,0.097969403,3.360078508,3.942886291,9.123972874,3.238891183,9.76720297,7.395023127,3.031412654,7.089406789,0.08312542
5169,1,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc(F)cc1,480.948079,505.123221,0.675241101,5.895399289,32.94210575,0.014904434,0.100008468,3.350078274,3.94276497,9.124574997,3.238939179,9.76891056,7.395018501,3.028134133,7.099272543,0.08315939
5169,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc(F)cc1,482.9476604,505.3905965,0.67542746,5.895399289,32.9515206,0.014837542,0.099559651,3.360078508,3.949297165,9.124536091,3.23901682,9.768851101,7.395032239,3.026893767,7.099510335,0.08315611
